treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_ish,after_group,dram,random,536870912,64,1000000,10,1087.90,338.10,1435.47,446.06,347.89,107.92,16.9985,22.4293,5.4357,1.0156,0.2472,1.0281,2.0157,0.7885,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l1,random,2048,1,1000000,10,5.93,1.85,14.41,4.48,8.50,2.64,5.9300,14.4099,8.4967,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l1,random,2048,2,1000000,10,8.21,2.56,27.57,8.57,19.36,6.02,4.1048,13.7829,9.6812,0.0000,0.0000,0.0000,2.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l1,random,2048,4,1000000,10,14.82,4.61,54.03,16.77,39.22,12.16,3.7042,13.5085,9.8060,0.0000,0.0000,0.0000,2.2500,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l1,random,2048,8,1000000,10,28.72,8.92,106.89,33.16,78.18,24.24,3.5901,13.3608,9.7722,0.0000,0.0000,0.0000,2.1250,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l1,random,2048,16,1000000,10,56.62,17.57,213.01,66.08,156.43,48.52,3.5389,13.3134,9.7769,0.0000,0.0000,0.0000,2.0625,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l1,random,2048,32,1000000,10,112.00,34.74,424.48,131.64,312.49,96.91,3.5001,13.2649,9.7654,0.0000,0.0000,0.0000,2.0313,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l1,random,2048,64,1000000,10,225.03,69.80,847.38,262.79,622.39,193.00,3.5161,13.2402,9.7249,0.0000,0.0000,0.0000,2.0156,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l2,random,524288,1,1000000,10,14.38,4.48,21.60,6.72,7.18,2.23,14.3833,21.5995,7.1830,1.8874,0.1508,0.1660,3.0000,0.5227,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l2,random,524288,2,1000000,10,24.41,7.59,41.70,12.95,17.31,5.37,12.2029,20.8487,8.6529,1.3521,0.2384,0.3977,2.5000,0.6360,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l2,random,524288,4,1000000,10,25.68,7.98,63.45,19.71,37.83,11.74,6.4188,15.8627,9.4565,1.0761,0.0717,0.1352,2.2500,0.4141,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l2,random,524288,8,1000000,10,39.82,12.38,111.88,34.73,72.16,22.38,4.9770,13.9845,9.0195,0.9284,0.0198,0.0685,2.1254,0.2476,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l2,random,524288,16,1000000,10,73.85,22.93,222.47,69.05,149.09,46.24,4.6156,13.9045,9.3179,0.8550,0.0225,0.0972,2.0628,0.2321,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l2,random,524288,32,1000000,10,124.15,38.54,431.62,133.94,307.50,95.40,3.8797,13.4880,9.6093,0.8159,0.0045,0.0182,2.0317,0.0856,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l2,random,524288,64,1000000,10,252.04,78.22,882.39,273.78,630.32,195.55,3.9382,13.7874,9.8487,0.7971,0.0263,0.0379,2.0160,0.1608,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l3,random,8388608,1,1000000,10,23.38,7.28,34.21,10.65,10.87,3.38,23.3798,34.2146,10.8696,1.9920,0.9651,1.9216,3.0001,0.8024,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l3,random,8388608,2,1000000,10,26.08,8.11,52.36,16.28,26.38,8.18,13.0421,26.1815,13.1886,1.4894,0.5629,1.3992,2.5000,0.7120,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l3,random,8388608,4,1000000,10,33.34,10.38,90.86,28.21,57.57,17.86,8.3357,22.7143,14.3925,1.2378,0.4140,1.1297,2.2500,0.6024,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l3,random,8388608,8,1000000,10,59.01,18.34,185.54,57.60,126.54,39.26,7.3762,23.1921,15.8178,1.1113,0.4086,0.9940,2.1252,0.5503,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l3,random,8388608,16,1000000,10,119.52,37.12,339.74,105.46,220.36,68.38,7.4702,21.2335,13.7725,1.0480,0.4388,0.9165,2.0625,0.5631,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l3,random,8388608,32,1000000,10,221.17,68.67,717.74,222.81,495.55,153.72,6.9114,22.4293,15.4859,1.0164,0.3612,0.8657,2.0314,0.5381,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,l3,random,8388608,64,1000000,10,359.88,111.73,1328.60,412.35,968.67,300.60,5.6231,20.7594,15.1355,1.0003,0.3117,0.8349,2.0156,0.4412,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,dram,random,536870912,1,1000000,10,302.48,94.05,311.22,96.81,8.52,2.59,302.4830,311.2244,8.5165,1.9999,2.2854,4.7514,3.0007,0.9368,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,dram,random,536870912,2,1000000,10,474.48,147.48,489.95,152.30,15.61,4.92,237.2380,244.9728,7.8049,1.4999,1.6293,2.7804,2.5006,0.9642,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,dram,random,536870912,4,1000000,10,641.68,199.46,656.61,204.18,15.98,5.00,160.4199,164.1521,3.9954,1.2499,1.4865,3.0338,2.2504,0.9605,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,dram,random,536870912,8,1000000,10,702.31,218.44,767.28,238.48,64.78,20.17,87.7891,95.9095,8.0969,1.1254,1.2638,1.9100,2.1252,0.9497,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,dram,random,536870912,16,1000000,10,782.47,243.14,1377.35,428.03,595.78,185.05,48.9041,86.0843,37.2361,1.0623,1.0568,1.5760,2.0627,0.9207,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,dram,random,536870912,32,1000000,10,872.20,271.08,2312.81,718.19,1440.61,447.15,27.2562,72.2752,45.0190,1.0312,0.5311,1.0908,2.0313,0.8688,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,dram,random,536870912,64,1000000,10,1093.68,339.95,4323.79,1342.45,3230.11,1002.50,17.0887,67.5592,50.4705,1.0156,0.2542,1.0331,2.0157,0.7880,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,l1,random,2048,1,1000000,10,5.87,1.84,14.06,4.38,8.19,2.54,5.8714,14.0616,8.1885,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
