condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,dmb_st,after_group,3,1000000,1000000,3920111,1230400,3.920,1.230,3.9201,PASS
hit,1,dmb_st,after_group,4,1000000,1000000,3751665,1177024,3.752,1.177,3.7517,PASS
hit,1,dmb_st,after_group,5,1000000,1000000,3796631,1190912,3.797,1.191,3.7966,PASS
hit,1,dmb_st,after_group,6,1000000,1000000,3794955,1190400,3.795,1.190,3.7950,PASS
hit,1,dmb_st,after_group,7,1000000,1000000,3765115,1182208,3.765,1.182,3.7651,PASS
hit,1,dmb_st,after_group,8,1000000,1000000,3815350,1196896,3.815,1.197,3.8154,PASS
hit,1,dmb_st,after_group,9,1000000,1000000,3857279,1209056,3.857,1.209,3.8573,PASS
hit,1,dmb_sy,after_every,0,1000000,1000000,3829378,1208928,3.829,1.209,3.8294,PASS
hit,1,dmb_sy,after_every,1,1000000,1000000,3886701,1220192,3.887,1.220,3.8867,PASS
hit,1,dmb_sy,after_every,2,1000000,1000000,3825986,1199648,3.826,1.200,3.8260,PASS
hit,1,dmb_sy,after_every,3,1000000,1000000,3930712,1234048,3.931,1.234,3.9307,PASS
hit,1,dmb_sy,after_every,4,1000000,1000000,3880215,1216256,3.880,1.216,3.8802,PASS
hit,1,dmb_sy,after_every,5,1000000,1000000,3763329,1180288,3.763,1.180,3.7633,PASS
hit,1,dmb_sy,after_every,6,1000000,1000000,3892635,1220352,3.893,1.220,3.8926,PASS
hit,1,dmb_sy,after_every,7,1000000,1000000,3819967,1197312,3.820,1.197,3.8200,PASS
hit,1,dmb_sy,after_every,8,1000000,1000000,3950388,1239424,3.950,1.239,3.9504,PASS
hit,1,dmb_sy,after_every,9,1000000,1000000,3769979,1182560,3.770,1.183,3.7700,PASS
hit,1,dmb_sy,after_group,0,1000000,1000000,3869271,1223840,3.869,1.224,3.8693,PASS
