condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,dmb_ld,after_group,3,1000000,1000000,3305612,1039200,3.306,1.039,3.3056,PASS
hit,1,dmb_ld,after_group,4,1000000,1000000,3285488,1032320,3.285,1.032,3.2855,PASS
hit,1,dmb_ld,after_group,5,1000000,1000000,3311852,1041216,3.312,1.041,3.3119,PASS
hit,1,dmb_ld,after_group,6,1000000,1000000,3249085,1021184,3.249,1.021,3.2491,PASS
hit,1,dmb_ld,after_group,7,1000000,1000000,3336842,1048288,3.337,1.048,3.3368,PASS
hit,1,dmb_ld,after_group,8,1000000,1000000,3315779,1041760,3.316,1.042,3.3158,PASS
hit,1,dmb_ld,after_group,9,1000000,1000000,3376598,1060576,3.377,1.061,3.3766,PASS
hit,1,dmb_sy,after_every,0,1000000,1000000,3295983,1046432,3.296,1.046,3.2960,PASS
hit,1,dmb_sy,after_every,1,1000000,1000000,3253882,1022816,3.254,1.023,3.2539,PASS
hit,1,dmb_sy,after_every,2,1000000,1000000,3227917,1014976,3.228,1.015,3.2279,PASS
hit,1,dmb_sy,after_every,3,1000000,1000000,3306725,1039072,3.307,1.039,3.3067,PASS
hit,1,dmb_sy,after_every,4,1000000,1000000,3300215,1036960,3.300,1.037,3.3002,PASS
hit,1,dmb_sy,after_every,5,1000000,1000000,3255041,1022688,3.255,1.023,3.2550,PASS
hit,1,dmb_sy,after_every,6,1000000,1000000,3327187,1047680,3.327,1.048,3.3272,PASS
hit,1,dmb_sy,after_every,7,1000000,1000000,3320918,1043584,3.321,1.044,3.3209,PASS
hit,1,dmb_sy,after_every,8,1000000,1000000,3279859,1031136,3.280,1.031,3.2799,PASS
hit,1,dmb_sy,after_every,9,1000000,1000000,3246494,1020224,3.246,1.020,3.2465,PASS
hit,1,dmb_sy,after_group,0,1000000,1000000,3299005,1044000,3.299,1.044,3.2990,PASS
hit,1,dmb_sy,after_group,1,1000000,1000000,3414286,1073344,3.414,1.073,3.4143,PASS
hit,1,dmb_sy,after_group,2,1000000,1000000,3296913,1035904,3.297,1.036,3.2969,PASS
hit,1,dmb_sy,after_group,3,1000000,1000000,3308409,1043872,3.308,1.044,3.3084,PASS
hit,1,dmb_sy,after_group,4,1000000,1000000,3307677,1039680,3.308,1.040,3.3077,PASS
hit,1,dmb_sy,after_group,5,1000000,1000000,3245027,1019648,3.245,1.020,3.2450,PASS
hit,1,dmb_sy,after_group,6,1000000,1000000,3297364,1036640,3.297,1.037,3.2974,PASS
hit,1,dmb_sy,after_group,7,1000000,1000000,3283311,1031968,3.283,1.032,3.2833,PASS
hit,1,dmb_sy,after_group,8,1000000,1000000,3335458,1048096,3.335,1.048,3.3355,PASS
hit,1,dmb_sy,after_group,9,1000000,1000000,3220822,1012544,3.221,1.013,3.2208,PASS
hit,1,ldapr,after_every,0,1000000,1000000,3356939,1076864,3.357,1.077,3.3569,PASS
hit,1,ldapr,after_every,1,1000000,1000000,3276675,1036448,3.277,1.036,3.2767,PASS
hit,1,ldapr,after_every,2,1000000,1000000,3264486,1026080,3.264,1.026,3.2645,PASS
hit,1,ldapr,after_every,3,1000000,1000000,3265207,1026336,3.265,1.026,3.2652,PASS
hit,1,ldapr,after_every,4,1000000,1000000,3423603,1075456,3.424,1.075,3.4236,PASS
hit,1,ldapr,after_every,5,1000000,1000000,3225755,1025088,3.226,1.025,3.2258,PASS
hit,1,ldapr,after_every,6,1000000,1000000,3292467,1035552,3.292,1.036,3.2925,PASS
hit,1,ldapr,after_every,7,1000000,1000000,3433681,1078848,3.434,1.079,3.4337,PASS
hit,1,ldapr,after_every,8,1000000,1000000,3304291,1038240,3.304,1.038,3.3043,PASS
hit,1,ldapr,after_every,9,1000000,1000000,3322198,1043776,3.322,1.044,3.3222,PASS
hit,1,ldapr,after_group,0,1000000,1000000,3328968,1055616,3.329,1.056,3.3290,PASS
hit,1,ldapr,after_group,1,1000000,1000000,3179087,1000224,3.179,1.000,3.1791,PASS
hit,1,ldapr,after_group,2,1000000,1000000,3278908,1031008,3.279,1.031,3.2789,PASS
hit,1,ldapr,after_group,3,1000000,1000000,3255049,1023072,3.255,1.023,3.2550,PASS
hit,1,ldapr,after_group,4,1000000,1000000,3308245,1059744,3.308,1.060,3.3082,PASS
hit,1,ldapr,after_group,5,1000000,1000000,3265989,1026112,3.266,1.026,3.2660,PASS
hit,1,ldapr,after_group,6,1000000,1000000,3242122,1026176,3.242,1.026,3.2421,PASS
hit,1,ldapr,after_group,7,1000000,1000000,3220129,1016288,3.220,1.016,3.2201,PASS
hit,1,ldapr,after_group,8,1000000,1000000,3252993,1023040,3.253,1.023,3.2530,PASS
hit,1,ldapr,after_group,9,1000000,1000000,3279673,1031168,3.280,1.031,3.2797,PASS
hit,1,ldar,after_every,0,1000000,1000000,3277778,1044960,3.278,1.045,3.2778,PASS
hit,1,ldar,after_every,1,1000000,1000000,3220047,1017088,3.220,1.017,3.2200,PASS
hit,1,ldar,after_every,2,1000000,1000000,3213022,1021856,3.213,1.022,3.2130,PASS
hit,1,ldar,after_every,3,1000000,1000000,3243200,1021952,3.243,1.022,3.2432,PASS
hit,1,ldar,after_every,4,1000000,1000000,3287572,1034592,3.288,1.035,3.2876,PASS
hit,1,ldar,after_every,5,1000000,1000000,3268333,1027072,3.268,1.027,3.2683,PASS
hit,1,ldar,after_every,6,1000000,1000000,3265583,1026400,3.266,1.026,3.2656,PASS
hit,1,ldar,after_every,7,1000000,1000000,3268585,1028096,3.269,1.028,3.2686,PASS
hit,1,ldar,after_every,8,1000000,1000000,3247572,1021472,3.248,1.021,3.2476,PASS
hit,1,ldar,after_every,9,1000000,1000000,3233516,1016608,3.234,1.017,3.2335,PASS
hit,1,ldar,after_group,0,1000000,1000000,3298792,1048704,3.299,1.049,3.2988,PASS
hit,1,ldar,after_group,1,1000000,1000000,3286401,1033600,3.286,1.034,3.2864,PASS
hit,1,ldar,after_group,2,1000000,1000000,3394341,1066496,3.394,1.066,3.3943,PASS
hit,1,ldar,after_group,3,1000000,1000000,3303393,1039136,3.303,1.039,3.3034,PASS
hit,1,ldar,after_group,4,1000000,1000000,3250476,1021536,3.250,1.022,3.2505,PASS
hit,1,ldar,after_group,5,1000000,1000000,3317464,1042528,3.317,1.043,3.3175,PASS
hit,1,ldar,after_group,6,1000000,1000000,3332126,1046528,3.332,1.047,3.3321,PASS
hit,1,ldar,after_group,7,1000000,1000000,3366466,1059904,3.366,1.060,3.3665,PASS
hit,1,ldar,after_group,8,1000000,1000000,3217002,1013280,3.217,1.013,3.2170,PASS
hit,1,ldar,after_group,9,1000000,1000000,3246178,1020448,3.246,1.020,3.2462,PASS
hit,2,dmb_ish,after_every,0,1000000,2000000,5210630,1638976,5.211,1.639,2.6053,PASS
hit,2,dmb_ish,after_every,1,1000000,2000000,5210330,1630720,5.210,1.631,2.6052,PASS
hit,2,dmb_ish,after_every,2,1000000,2000000,5322314,1665984,5.322,1.666,2.6612,PASS
hit,2,dmb_ish,after_every,3,1000000,2000000,5245125,1641792,5.245,1.642,2.6226,PASS
hit,2,dmb_ish,after_every,4,1000000,2000000,5169352,1615552,5.169,1.616,2.5847,PASS
hit,2,dmb_ish,after_every,5,1000000,2000000,5176206,1617184,5.176,1.617,2.5881,PASS
hit,2,dmb_ish,after_every,6,1000000,2000000,5191275,1622048,5.191,1.622,2.5956,PASS
hit,2,dmb_ish,after_every,7,1000000,2000000,5225202,1634240,5.225,1.634,2.6126,PASS
hit,2,dmb_ish,after_every,8,1000000,2000000,5198835,1627168,5.199,1.627,2.5994,PASS
hit,2,dmb_ish,after_every,9,1000000,2000000,5217810,1632544,5.218,1.633,2.6089,PASS
hit,2,dmb_ish,after_group,0,1000000,2000000,5234357,1647072,5.234,1.647,2.6172,PASS
hit,2,dmb_ish,after_group,1,1000000,2000000,5334627,1670624,5.335,1.671,2.6673,PASS
hit,2,dmb_ish,after_group,2,1000000,2000000,5432927,1700192,5.433,1.700,2.7165,PASS
hit,2,dmb_ish,after_group,3,1000000,2000000,5380707,1683744,5.381,1.684,2.6904,PASS
hit,2,dmb_ish,after_group,4,1000000,2000000,5164722,1614400,5.165,1.614,2.5824,PASS
hit,2,dmb_ish,after_group,5,1000000,2000000,5144352,1610016,5.144,1.610,2.5722,PASS
hit,2,dmb_ish,after_group,6,1000000,2000000,5220723,1633760,5.221,1.634,2.6104,PASS
hit,2,dmb_ish,after_group,7,1000000,2000000,5187118,1620960,5.187,1.621,2.5936,PASS
