condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,ldadd,acquire,7,1000000,1000000,14844841,4615552,14.845,4.616,14.8448,PASS
hit,1,ldadd,acquire,8,1000000,1000000,14842059,4613696,14.842,4.614,14.8421,PASS
hit,1,ldadd,acquire,9,1000000,1000000,14839232,4615488,14.839,4.615,14.8392,PASS
hit,1,ldadd,release,0,1000000,1000000,14838250,4654208,14.838,4.654,14.8383,PASS
hit,1,ldadd,release,1,1000000,1000000,14837830,4626272,14.838,4.626,14.8378,PASS
hit,1,ldadd,release,2,1000000,1000000,14837811,4617888,14.838,4.618,14.8378,PASS
hit,1,ldadd,release,3,1000000,1000000,14837641,4614784,14.838,4.615,14.8376,PASS
hit,1,ldadd,release,4,1000000,1000000,14838130,4617632,14.838,4.618,14.8381,PASS
hit,1,ldadd,release,5,1000000,1000000,14838093,4616512,14.838,4.617,14.8381,PASS
hit,1,ldadd,release,6,1000000,1000000,14837988,4615712,14.838,4.616,14.8380,PASS
hit,1,ldadd,release,7,1000000,1000000,14837615,4615200,14.838,4.615,14.8376,PASS
hit,1,ldadd,release,8,1000000,1000000,14838939,4613760,14.839,4.614,14.8389,PASS
hit,1,ldadd,release,9,1000000,1000000,14837883,4613856,14.838,4.614,14.8379,PASS
hit,1,ldadd,seqcst,0,1000000,1000000,14837978,4620480,14.838,4.620,14.8380,PASS
hit,1,ldadd,seqcst,1,1000000,1000000,14838037,4637216,14.838,4.637,14.8380,PASS
hit,1,ldadd,seqcst,2,1000000,1000000,14837358,4619008,14.837,4.619,14.8374,PASS
hit,1,ldadd,seqcst,3,1000000,1000000,14836915,4617248,14.837,4.617,14.8369,PASS
hit,1,ldadd,seqcst,4,1000000,1000000,14838286,4614752,14.838,4.615,14.8383,PASS
hit,1,ldadd,seqcst,5,1000000,1000000,14839722,4615904,14.840,4.616,14.8397,PASS
hit,1,ldadd,seqcst,6,1000000,1000000,14840138,4617088,14.840,4.617,14.8401,PASS
hit,1,ldadd,seqcst,7,1000000,1000000,14837711,4614560,14.838,4.615,14.8377,PASS
hit,1,ldadd,seqcst,8,1000000,1000000,14838071,4615744,14.838,4.616,14.8381,PASS
hit,1,ldadd,seqcst,9,1000000,1000000,14841792,4616576,14.842,4.617,14.8418,PASS
hit,1,swp,acqrel,0,1000000,1000000,14547292,4534816,14.547,4.535,14.5473,PASS
hit,1,swp,acqrel,1,1000000,1000000,14543782,4533312,14.544,4.533,14.5438,PASS
hit,1,swp,acqrel,2,1000000,1000000,14542109,4526912,14.542,4.527,14.5421,PASS
hit,1,swp,acqrel,3,1000000,1000000,14543957,4522816,14.544,4.523,14.5440,PASS
hit,1,swp,acqrel,4,1000000,1000000,14541416,4522592,14.541,4.523,14.5414,PASS
hit,1,swp,acqrel,5,1000000,1000000,14539135,4521984,14.539,4.522,14.5391,PASS
hit,1,swp,acqrel,6,1000000,1000000,14540037,4525760,14.540,4.526,14.5400,PASS
hit,1,swp,acqrel,7,1000000,1000000,14538904,4522304,14.539,4.522,14.5389,PASS
hit,1,swp,acqrel,8,1000000,1000000,14539258,4524224,14.539,4.524,14.5393,PASS
hit,1,swp,acqrel,9,1000000,1000000,14540296,4525600,14.540,4.526,14.5403,PASS
hit,1,swp,acquire,0,1000000,1000000,14506019,4533216,14.506,4.533,14.5060,PASS
hit,1,swp,acquire,1,1000000,1000000,14503766,4520192,14.504,4.520,14.5038,PASS
hit,1,swp,acquire,2,1000000,1000000,14525219,4519008,14.525,4.519,14.5252,PASS
hit,1,swp,acquire,3,1000000,1000000,14539696,4522720,14.540,4.523,14.5397,PASS
hit,1,swp,acquire,4,1000000,1000000,14506841,4511680,14.507,4.512,14.5068,PASS
hit,1,swp,acquire,5,1000000,1000000,14505733,4510848,14.506,4.511,14.5057,PASS
hit,1,swp,acquire,6,1000000,1000000,14505566,4510848,14.506,4.511,14.5056,PASS
hit,1,swp,acquire,7,1000000,1000000,14506148,4510816,14.506,4.511,14.5061,PASS
hit,1,swp,acquire,8,1000000,1000000,14504688,4510048,14.505,4.510,14.5047,PASS
hit,1,swp,acquire,9,1000000,1000000,14506685,4511904,14.507,4.512,14.5067,PASS
hit,1,swp,release,0,1000000,1000000,14506750,4519840,14.507,4.520,14.5068,PASS
hit,1,swp,release,1,1000000,1000000,14507513,4512704,14.508,4.513,14.5075,PASS
hit,1,swp,release,2,1000000,1000000,14504726,4515968,14.505,4.516,14.5047,PASS
hit,1,swp,release,3,1000000,1000000,14505743,4513184,14.506,4.513,14.5057,PASS
hit,1,swp,release,4,1000000,1000000,14549758,4531904,14.550,4.532,14.5498,PASS
hit,1,swp,release,5,1000000,1000000,14506382,4513056,14.506,4.513,14.5064,PASS
hit,1,swp,release,6,1000000,1000000,14506633,4513312,14.507,4.513,14.5066,PASS
hit,1,swp,release,7,1000000,1000000,14550407,4525024,14.550,4.525,14.5504,PASS
hit,1,swp,release,8,1000000,1000000,14506844,4578080,14.507,4.578,14.5068,PASS
hit,1,swp,release,9,1000000,1000000,14528268,4521216,14.528,4.521,14.5283,PASS
hit,1,swp,seqcst,0,1000000,1000000,14529226,4536704,14.529,4.537,14.5292,PASS
hit,1,swp,seqcst,1,1000000,1000000,14506603,4528032,14.507,4.528,14.5066,PASS
hit,1,swp,seqcst,2,1000000,1000000,14505344,4513920,14.505,4.514,14.5053,PASS
hit,1,swp,seqcst,3,1000000,1000000,14505947,4513440,14.506,4.513,14.5059,PASS
hit,1,swp,seqcst,4,1000000,1000000,14510412,4513600,14.510,4.514,14.5104,PASS
hit,1,swp,seqcst,5,1000000,1000000,14528176,4519456,14.528,4.519,14.5282,PASS
hit,1,swp,seqcst,6,1000000,1000000,14506821,4513216,14.507,4.513,14.5068,PASS
hit,1,swp,seqcst,7,1000000,1000000,14507747,4511616,14.508,4.512,14.5077,PASS
hit,1,swp,seqcst,8,1000000,1000000,14506858,4512384,14.507,4.512,14.5069,PASS
hit,1,swp,seqcst,9,1000000,1000000,14522439,4517280,14.522,4.517,14.5224,PASS
hit,2,cas,acqrel,0,1000000,2000000,31463196,9793632,31.463,9.794,15.7316,PASS
hit,2,cas,acqrel,1,1000000,2000000,31462637,9776352,31.463,9.776,15.7313,PASS
hit,2,cas,acqrel,2,1000000,2000000,31461699,9773280,31.462,9.773,15.7308,PASS
hit,2,cas,acqrel,3,1000000,2000000,31463442,9773664,31.463,9.774,15.7317,PASS
hit,2,cas,acqrel,4,1000000,2000000,31463376,9770720,31.463,9.771,15.7317,PASS
hit,2,cas,acqrel,5,1000000,2000000,31462052,9771264,31.462,9.771,15.7310,PASS
hit,2,cas,acqrel,6,1000000,2000000,31462802,9792768,31.463,9.793,15.7314,PASS
hit,2,cas,acqrel,7,1000000,2000000,31462585,9801920,31.463,9.802,15.7313,PASS
hit,2,cas,acqrel,8,1000000,2000000,31461495,9776352,31.461,9.776,15.7307,PASS
hit,2,cas,acqrel,9,1000000,2000000,31461770,9770688,31.462,9.771,15.7309,PASS
hit,2,cas,acquire,0,1000000,2000000,31462257,9797824,31.462,9.798,15.7311,PASS
hit,2,cas,acquire,1,1000000,2000000,31463120,9776064,31.463,9.776,15.7316,PASS
hit,2,cas,acquire,2,1000000,2000000,31462172,9770880,31.462,9.771,15.7311,PASS
hit,2,cas,acquire,3,1000000,2000000,31462502,9772608,31.463,9.773,15.7313,PASS
hit,2,cas,acquire,4,1000000,2000000,31462354,9773984,31.462,9.774,15.7312,PASS
hit,2,cas,acquire,5,1000000,2000000,31463222,9771520,31.463,9.772,15.7316,PASS
hit,2,cas,acquire,6,1000000,2000000,31462761,9772416,31.463,9.772,15.7314,PASS
hit,2,cas,acquire,7,1000000,2000000,31463141,9772448,31.463,9.772,15.7316,PASS
hit,2,cas,acquire,8,1000000,2000000,31462508,9770464,31.463,9.770,15.7313,PASS
hit,2,cas,acquire,9,1000000,2000000,31462570,9772832,31.463,9.773,15.7313,PASS
hit,2,cas,release,0,1000000,2000000,31461790,9794496,31.462,9.794,15.7309,PASS
hit,2,cas,release,1,1000000,2000000,31462591,9794432,31.463,9.794,15.7313,PASS
hit,2,cas,release,2,1000000,2000000,31461924,9771872,31.462,9.772,15.7310,PASS
hit,2,cas,release,3,1000000,2000000,31462800,9769312,31.463,9.769,15.7314,PASS
hit,2,cas,release,4,1000000,2000000,31462950,9834368,31.463,9.834,15.7315,PASS
hit,2,cas,release,5,1000000,2000000,31462321,9770400,31.462,9.770,15.7312,PASS
hit,2,cas,release,6,1000000,2000000,31462038,9770848,31.462,9.771,15.7310,PASS
hit,2,cas,release,7,1000000,2000000,31463124,9773504,31.463,9.774,15.7316,PASS
hit,2,cas,release,8,1000000,2000000,31462734,9773216,31.463,9.773,15.7314,PASS
hit,2,cas,release,9,1000000,2000000,31462075,9773792,31.462,9.774,15.7310,PASS
hit,2,cas,seqcst,0,1000000,2000000,31463467,9807040,31.463,9.807,15.7317,PASS
hit,2,cas,seqcst,1,1000000,2000000,31461761,9771456,31.462,9.771,15.7309,PASS
hit,2,cas,seqcst,2,1000000,2000000,31461750,9768736,31.462,9.769,15.7309,PASS
hit,2,cas,seqcst,3,1000000,2000000,31461917,9770144,31.462,9.770,15.7310,PASS
hit,2,cas,seqcst,4,1000000,2000000,31462163,9769728,31.462,9.770,15.7311,PASS
hit,2,cas,seqcst,5,1000000,2000000,31462317,9770272,31.462,9.770,15.7312,PASS
hit,2,cas,seqcst,6,1000000,2000000,31462083,9768704,31.462,9.769,15.7310,PASS
hit,2,cas,seqcst,7,1000000,2000000,31462588,9768960,31.463,9.769,15.7313,PASS
hit,2,cas,seqcst,8,1000000,2000000,31463036,9770272,31.463,9.770,15.7315,PASS
hit,2,cas,seqcst,9,1000000,2000000,31462488,9772160,31.462,9.772,15.7312,PASS
hit,2,ldadd,acqrel,0,1000000,2000000,28960927,9009792,28.961,9.010,14.4805,PASS
hit,2,ldadd,acqrel,1,1000000,2000000,28954400,8993408,28.954,8.993,14.4772,PASS
hit,2,ldadd,acqrel,2,1000000,2000000,28957217,8993856,28.957,8.994,14.4786,PASS
hit,2,ldadd,acqrel,3,1000000,2000000,28955344,8993088,28.955,8.993,14.4777,PASS
hit,2,ldadd,acqrel,4,1000000,2000000,28959584,9036064,28.960,9.036,14.4798,PASS
hit,2,ldadd,acqrel,5,1000000,2000000,28956493,8997920,28.956,8.998,14.4782,PASS
hit,2,ldadd,acqrel,6,1000000,2000000,28955102,8992864,28.955,8.993,14.4776,PASS
hit,2,ldadd,acqrel,7,1000000,2000000,28956400,8993632,28.956,8.994,14.4782,PASS
hit,2,ldadd,acqrel,8,1000000,2000000,28955679,8995072,28.956,8.995,14.4778,PASS
hit,2,ldadd,acqrel,9,1000000,2000000,28956719,8993696,28.957,8.994,14.4784,PASS
hit,2,ldadd,acquire,0,1000000,2000000,28957567,9024768,28.958,9.025,14.4788,PASS
hit,2,ldadd,acquire,1,1000000,2000000,28955710,8994496,28.956,8.994,14.4779,PASS
hit,2,ldadd,acquire,2,1000000,2000000,28956014,8993248,28.956,8.993,14.4780,PASS
hit,2,ldadd,acquire,3,1000000,2000000,28955393,8991680,28.955,8.992,14.4777,PASS
hit,2,ldadd,acquire,4,1000000,2000000,28956439,8991008,28.956,8.991,14.4782,PASS
hit,2,ldadd,acquire,5,1000000,2000000,28956959,8996800,28.957,8.997,14.4785,PASS
hit,2,ldadd,acquire,6,1000000,2000000,28955696,9032480,28.956,9.032,14.4778,PASS
hit,2,ldadd,acquire,7,1000000,2000000,28956759,8993056,28.957,8.993,14.4784,PASS
hit,2,ldadd,acquire,8,1000000,2000000,28956024,8991456,28.956,8.991,14.4780,PASS
hit,2,ldadd,acquire,9,1000000,2000000,28956034,8992032,28.956,8.992,14.4780,PASS
hit,2,ldadd,release,0,1000000,2000000,28957595,9025088,28.958,9.025,14.4788,PASS
hit,2,ldadd,release,1,1000000,2000000,28957587,8996896,28.958,8.997,14.4788,PASS
hit,2,ldadd,release,2,1000000,2000000,28954947,8996384,28.955,8.996,14.4775,PASS
hit,2,ldadd,release,3,1000000,2000000,28956194,9007424,28.956,9.007,14.4781,PASS
hit,2,ldadd,release,4,1000000,2000000,28956570,8994080,28.957,8.994,14.4783,PASS
hit,2,ldadd,release,5,1000000,2000000,28956092,8998144,28.956,8.998,14.4780,PASS
hit,2,ldadd,release,6,1000000,2000000,28956876,8991648,28.957,8.992,14.4784,PASS
hit,2,ldadd,release,7,1000000,2000000,28955962,8991840,28.956,8.992,14.4780,PASS
hit,2,ldadd,release,8,1000000,2000000,28957240,8992512,28.957,8.993,14.4786,PASS
hit,2,ldadd,release,9,1000000,2000000,28957816,8992896,28.958,8.993,14.4789,PASS
hit,2,ldadd,seqcst,0,1000000,2000000,28958335,9031072,28.958,9.031,14.4792,PASS
hit,2,ldadd,seqcst,1,1000000,2000000,28957789,8998080,28.958,8.998,14.4789,PASS
hit,2,ldadd,seqcst,2,1000000,2000000,28956758,8996608,28.957,8.997,14.4784,PASS
hit,2,ldadd,seqcst,3,1000000,2000000,28956219,8993952,28.956,8.994,14.4781,PASS
hit,2,ldadd,seqcst,4,1000000,2000000,28957812,9034144,28.958,9.034,14.4789,PASS
hit,2,ldadd,seqcst,5,1000000,2000000,28958800,8997280,28.959,8.997,14.4794,PASS
hit,2,ldadd,seqcst,6,1000000,2000000,28957497,8995456,28.957,8.995,14.4787,PASS
hit,2,ldadd,seqcst,7,1000000,2000000,28955807,8992448,28.956,8.992,14.4779,PASS
hit,2,ldadd,seqcst,8,1000000,2000000,28956205,8993984,28.956,8.994,14.4781,PASS
hit,2,ldadd,seqcst,9,1000000,2000000,28955744,8993856,28.956,8.994,14.4779,PASS
hit,2,swp,acqrel,0,1000000,2000000,28604889,8901216,28.605,8.901,14.3024,PASS
hit,2,swp,acqrel,1,1000000,2000000,28604382,8886144,28.604,8.886,14.3022,PASS
hit,2,swp,acqrel,2,1000000,2000000,28603875,8884960,28.604,8.885,14.3019,PASS
hit,2,swp,acqrel,3,1000000,2000000,28604152,8887936,28.604,8.888,14.3021,PASS
hit,2,swp,acqrel,4,1000000,2000000,28604332,8884416,28.604,8.884,14.3022,PASS
hit,2,swp,acqrel,5,1000000,2000000,28604396,8889440,28.604,8.889,14.3022,PASS
hit,2,swp,acqrel,6,1000000,2000000,28603567,8882368,28.604,8.882,14.3018,PASS
hit,2,swp,acqrel,7,1000000,2000000,28602060,8898368,28.602,8.898,14.3010,PASS
hit,2,swp,acqrel,8,1000000,2000000,28603262,8883488,28.603,8.883,14.3016,PASS
hit,2,swp,acqrel,9,1000000,2000000,28604696,8886080,28.605,8.886,14.3023,PASS
hit,2,swp,acquire,0,1000000,2000000,28603363,8918112,28.603,8.918,14.3017,PASS
hit,2,swp,acquire,1,1000000,2000000,28603363,8884096,28.603,8.884,14.3017,PASS
hit,2,swp,acquire,2,1000000,2000000,28603159,8885376,28.603,8.885,14.3016,PASS
hit,2,swp,acquire,3,1000000,2000000,28605167,8883264,28.605,8.883,14.3026,PASS
hit,2,swp,acquire,4,1000000,2000000,28604182,8884512,28.604,8.885,14.3021,PASS
hit,2,swp,acquire,5,1000000,2000000,28603375,8891136,28.603,8.891,14.3017,PASS
hit,2,swp,acquire,6,1000000,2000000,28603328,8882784,28.603,8.883,14.3017,PASS
hit,2,swp,acquire,7,1000000,2000000,28602200,8883296,28.602,8.883,14.3011,PASS
hit,2,swp,acquire,8,1000000,2000000,28603828,8882880,28.604,8.883,14.3019,PASS
hit,2,swp,acquire,9,1000000,2000000,28603818,8902880,28.604,8.903,14.3019,PASS
hit,2,swp,release,0,1000000,2000000,28605993,8894720,28.606,8.895,14.3030,PASS
hit,2,swp,release,1,1000000,2000000,28603835,8886944,28.604,8.887,14.3019,PASS
hit,2,swp,release,2,1000000,2000000,28603891,8885664,28.604,8.886,14.3019,PASS
hit,2,swp,release,3,1000000,2000000,28604243,8884256,28.604,8.884,14.3021,PASS
hit,2,swp,release,4,1000000,2000000,28604237,8884448,28.604,8.884,14.3021,PASS
hit,2,swp,release,5,1000000,2000000,28604445,8888256,28.604,8.888,14.3022,PASS
hit,2,swp,release,6,1000000,2000000,28603922,8885376,28.604,8.885,14.3020,PASS
hit,2,swp,release,7,1000000,2000000,28603759,8883840,28.604,8.884,14.3019,PASS
hit,2,swp,release,8,1000000,2000000,28603966,8886112,28.604,8.886,14.3020,PASS
hit,2,swp,release,9,1000000,2000000,28603148,8902880,28.603,8.903,14.3016,PASS
hit,2,swp,seqcst,0,1000000,2000000,28602979,8901600,28.603,8.902,14.3015,PASS
hit,2,swp,seqcst,1,1000000,2000000,28604209,8886784,28.604,8.887,14.3021,PASS
hit,2,swp,seqcst,2,1000000,2000000,28604239,8883264,28.604,8.883,14.3021,PASS
hit,2,swp,seqcst,3,1000000,2000000,28604255,8886592,28.604,8.887,14.3021,PASS
hit,2,swp,seqcst,4,1000000,2000000,28603166,8882752,28.603,8.883,14.3016,PASS
hit,2,swp,seqcst,5,1000000,2000000,28605176,8889280,28.605,8.889,14.3026,PASS
hit,2,swp,seqcst,6,1000000,2000000,28604076,8885664,28.604,8.886,14.3020,PASS
hit,2,swp,seqcst,7,1000000,2000000,28604468,8909408,28.604,8.909,14.3022,PASS
hit,2,swp,seqcst,8,1000000,2000000,28604128,8888000,28.604,8.888,14.3021,PASS
hit,2,swp,seqcst,9,1000000,2000000,28604177,8886880,28.604,8.887,14.3021,PASS
hit,4,cas,acqrel,0,1000000,4000000,62427605,19397600,62.428,19.398,15.6069,PASS
hit,4,cas,acqrel,1,1000000,4000000,62425512,19398912,62.426,19.399,15.6064,PASS
hit,4,cas,acqrel,2,1000000,4000000,62424950,19376992,62.425,19.377,15.6062,PASS
hit,4,cas,acqrel,3,1000000,4000000,62424325,19382368,62.424,19.382,15.6061,PASS
hit,4,cas,acqrel,4,1000000,4000000,62424367,19375328,62.424,19.375,15.6061,PASS
hit,4,cas,acqrel,5,1000000,4000000,62425095,19373280,62.425,19.373,15.6063,PASS
hit,4,cas,acqrel,6,1000000,4000000,62425263,19374720,62.425,19.375,15.6063,PASS
hit,4,cas,acqrel,7,1000000,4000000,62425585,19369568,62.426,19.370,15.6064,PASS
hit,4,cas,acqrel,8,1000000,4000000,62425509,19406848,62.426,19.407,15.6064,PASS
hit,4,cas,acqrel,9,1000000,4000000,62425229,19376288,62.425,19.376,15.6063,PASS
hit,4,cas,acquire,0,1000000,4000000,62425982,19396256,62.426,19.396,15.6065,PASS
hit,4,cas,acquire,1,1000000,4000000,62424612,19385312,62.425,19.385,15.6062,PASS
hit,4,cas,acquire,2,1000000,4000000,62424572,19377440,62.425,19.377,15.6061,PASS
hit,4,cas,acquire,3,1000000,4000000,62424793,19392512,62.425,19.393,15.6062,PASS
hit,4,cas,acquire,4,1000000,4000000,62424822,19379136,62.425,19.379,15.6062,PASS
hit,4,cas,acquire,5,1000000,4000000,62425320,19396640,62.425,19.397,15.6063,PASS
hit,4,cas,acquire,6,1000000,4000000,62423297,19375136,62.423,19.375,15.6058,PASS
hit,4,cas,acquire,7,1000000,4000000,62424173,19379168,62.424,19.379,15.6060,PASS
hit,4,cas,acquire,8,1000000,4000000,62426343,19381728,62.426,19.382,15.6066,PASS
hit,4,cas,acquire,9,1000000,4000000,62424642,19373952,62.425,19.374,15.6062,PASS
hit,4,cas,release,0,1000000,4000000,62426104,19392704,62.426,19.393,15.6065,PASS
hit,4,cas,release,1,1000000,4000000,62424325,19387200,62.424,19.387,15.6061,PASS
hit,4,cas,release,2,1000000,4000000,62424726,19390624,62.425,19.391,15.6062,PASS
hit,4,cas,release,3,1000000,4000000,62425181,19375584,62.425,19.376,15.6063,PASS
hit,4,cas,release,4,1000000,4000000,62425877,19374240,62.426,19.374,15.6065,PASS
hit,4,cas,release,5,1000000,4000000,62426138,19373152,62.426,19.373,15.6065,PASS
hit,4,cas,release,6,1000000,4000000,62425647,19374240,62.426,19.374,15.6064,PASS
hit,4,cas,release,7,1000000,4000000,62424873,19373632,62.425,19.374,15.6062,PASS
hit,4,cas,release,8,1000000,4000000,62425683,19388960,62.426,19.389,15.6064,PASS
hit,4,cas,release,9,1000000,4000000,62425729,19376064,62.426,19.376,15.6064,PASS
hit,4,cas,seqcst,0,1000000,4000000,62425728,19396448,62.426,19.396,15.6064,PASS
hit,4,cas,seqcst,1,1000000,4000000,62425150,19381504,62.425,19.382,15.6063,PASS
hit,4,cas,seqcst,2,1000000,4000000,62424597,19437056,62.425,19.437,15.6061,PASS
hit,4,cas,seqcst,3,1000000,4000000,62424872,19371104,62.425,19.371,15.6062,PASS
hit,4,cas,seqcst,4,1000000,4000000,62425005,19369472,62.425,19.369,15.6063,PASS
hit,4,cas,seqcst,5,1000000,4000000,62424433,19369312,62.424,19.369,15.6061,PASS
hit,4,cas,seqcst,6,1000000,4000000,62424632,19370720,62.425,19.371,15.6062,PASS
hit,4,cas,seqcst,7,1000000,4000000,62424410,19371456,62.424,19.371,15.6061,PASS
hit,4,cas,seqcst,8,1000000,4000000,62424099,19368800,62.424,19.369,15.6060,PASS
hit,4,cas,seqcst,9,1000000,4000000,62423691,19368800,62.424,19.369,15.6059,PASS
hit,4,ldadd,acqrel,0,1000000,4000000,57264432,17798240,57.264,17.798,14.3161,PASS
hit,4,ldadd,acqrel,1,1000000,4000000,57263524,17785376,57.264,17.785,14.3159,PASS
hit,4,ldadd,acqrel,2,1000000,4000000,57260916,17789792,57.261,17.790,14.3152,PASS
hit,4,ldadd,acqrel,3,1000000,4000000,57262292,17770944,57.262,17.771,14.3156,PASS
hit,4,ldadd,acqrel,4,1000000,4000000,57261367,17774016,57.261,17.774,14.3153,PASS
hit,4,ldadd,acqrel,5,1000000,4000000,57262105,17772864,57.262,17.773,14.3155,PASS
hit,4,ldadd,acqrel,6,1000000,4000000,57262412,17767552,57.262,17.768,14.3156,PASS
hit,4,ldadd,acqrel,7,1000000,4000000,57261464,17770368,57.261,17.770,14.3154,PASS
hit,4,ldadd,acqrel,8,1000000,4000000,57262716,17769888,57.263,17.770,14.3157,PASS
hit,4,ldadd,acqrel,9,1000000,4000000,57262796,17787776,57.263,17.788,14.3157,PASS
hit,4,ldadd,acquire,0,1000000,4000000,57264648,17792320,57.265,17.792,14.3162,PASS
