variation,N,hits_x,layout,miss_per_iter,exp_l1_iter,iters,repeats,core,numa_bind,base_cyc_iter,base_ns_iter,treat_cyc_iter,treat_ns_iter,d_cyc_iter,d_ns_iter,base_l1_iter,treat_l1_iter,base_ll_iter,treat_ll_iter,l1_tol,ll_min,base_stall,treat_stall,mux,base_cyc_min,base_cyc_max,base_cyc_std,base_cyc_margin,base_ns_min,base_ns_max,base_ns_std,base_ns_margin,base_gate,treat_gate
2,64,1,block,62,62.0,200000,10,0,0,779.51,242.64,774.21,240.91,-5.30,-1.74,62.217,62.207,61.923,61.932,16.50,31.00,0.6450,0.6102,1.0000,778.47,784.71,1.90,5.20,242.19,244.35,0.66,1.70,10,10
2,64,2,block,61,61.0,200000,10,0,0,773.97,240.83,767.37,238.80,-6.60,-2.03,61.254,61.253,60.921,60.928,16.25,30.50,0.6440,0.6059,1.0000,773.72,774.66,0.26,0.69,240.68,241.22,0.17,0.39,10,10
2,64,4,block,59,59.0,200000,10,0,0,774.85,241.05,767.86,238.92,-6.99,-2.13,59.398,59.394,58.923,58.929,15.75,29.50,0.6567,0.6231,1.0000,774.61,775.60,0.26,0.75,240.91,241.58,0.19,0.53,10,10
2,64,8,block,55,55.0,200000,10,0,0,768.29,239.08,767.37,238.79,-0.93,-0.29,55.532,55.533,54.930,54.935,14.75,27.50,0.6670,0.6302,1.0000,768.15,768.99,0.23,0.69,239.00,239.56,0.18,0.48,10,10
2,64,12,block,51,51.0,200000,10,0,0,759.99,236.46,768.14,239.00,8.15,2.54,51.678,51.676,50.935,50.939,13.75,25.50,0.6738,0.6634,1.0000,759.75,760.18,0.12,0.24,236.37,236.65,0.08,0.19,10,10
2,64,16,block,47,47.0,200000,10,0,0,752.28,234.16,766.25,238.36,13.97,4.20,47.770,47.781,46.940,46.942,12.75,23.50,0.6794,0.6731,1.0000,752.05,752.83,0.23,0.55,233.90,234.56,0.20,0.40,10,10
2,64,24,block,39,39.0,200000,10,0,0,738.44,229.71,753.16,234.29,14.72,4.58,39.940,39.947,38.954,38.954,10.75,19.50,0.6941,0.6869,1.0000,738.31,738.81,0.13,0.36,229.60,230.14,0.16,0.43,10,10
