variation,N,hits_x,layout,miss_per_iter,exp_l1_iter,iters,repeats,core,numa_bind,base_cyc_iter,base_ns_iter,treat_cyc_iter,treat_ns_iter,d_cyc_iter,d_ns_iter,base_l1_iter,treat_l1_iter,base_ll_iter,treat_ll_iter,l1_tol,ll_min,base_stall,treat_stall,mux,base_cyc_min,base_cyc_max,base_cyc_std,base_cyc_margin,base_ns_min,base_ns_max,base_ns_std,base_ns_margin,base_gate,treat_gate
2,64,1,block,62,62.0,200000,10,0,0,778.27,242.21,772.94,240.54,-5.33,-1.66,62.217,62.201,61.925,61.932,16.50,31.00,0.6450,0.6096,1.0000,777.97,778.52,0.14,0.29,242.09,242.49,0.11,0.28,10,10
2,64,1,block,62,62.0,200000,10,0,0,778.34,242.34,772.82,240.49,-5.51,-1.85,62.217,62.203,61.922,61.929,16.50,31.00,0.6446,0.6100,1.0000,778.11,778.92,0.21,0.58,242.14,242.58,0.15,0.24,10,10
2,64,1,block,62,62.0,200000,10,0,0,778.41,242.19,773.02,240.56,-5.39,-1.63,62.190,62.218,61.919,61.927,16.50,31.00,0.6446,0.6094,1.0000,777.91,778.61,0.19,0.50,242.08,242.63,0.19,0.45,10,10
