fence,placement,N,iters,repeats,base_cyc_op,base_ins_op,base_mem_op,base_l1_op,base_stall_pct,treat_cyc_op,treat_ins_op,treat_mem_op,treat_l1_op,treat_stall_pct,d_cyc_op,d_ins_op,d_mem_op
dmb_ishld,after_group,1,1000000,15,3.288,22.000,2.000,0.0000,0.0,8.864,23.000,2.000,0.0000,0.0,5.576,1.000,0.000
dmb_ishld,after_group,4,1000000,15,2.462,14.500,1.250,0.0000,0.0,2.785,14.750,1.250,0.0000,0.0,0.323,0.250,0.000
dmb_ishld,after_group,8,1000000,15,2.422,13.250,1.125,0.0000,0.0,2.482,13.375,1.125,0.0000,0.0,0.061,0.125,0.000
dmb_ishld,after_group,64,1000000,15,2.501,12.156,1.016,0.0000,0.0,2.522,12.172,1.016,0.0000,0.0,0.022,0.016,0.000
dmb_ishld,after_every,1,1000000,15,3.279,22.000,2.000,0.0000,0.0,8.628,22.000,2.000,0.0000,0.0,5.349,0.000,0.000
dmb_ishld,after_every,64,1000000,15,2.503,12.156,1.016,0.0000,0.0,8.122,14.125,2.000,0.0000,0.0,5.619,1.969,0.984
