name,kind,threads,repeats,base_cyc_op,treat_cyc_op,incr_cyc_op,base_ns_op,treat_ns_op,incr_ns_op,base_l1_op,treat_l1_op,treat_remote_op,treat_stall_frac,mux,pin_ok,overlap_ok,base_cyc_op_min,base_cyc_op_max,base_cyc_op_std,base_ns_op_min,base_ns_op_max,base_ns_op_std
ldar,RCsc,1,15,1.190,17.340,16.150,0.3765,5.3878,5.0101,0.0000,0.0000,0.0000,0.0000,1.0000,1,1,1.187,1.191,0.001,0.3756,0.3786,0.0009
ldar,RCsc,2,15,1.836,101.562,99.729,0.5788,31.5435,30.9638,0.0031,0.1715,0.0000,0.7851,1.0000,1,1,1.829,1.844,0.005,0.5767,0.5820,0.0015
ldar,RCsc,4,15,4.456,203.473,199.184,1.3924,63.1506,61.8172,0.0047,0.2127,0.0000,0.8837,1.0000,1,1,4.151,4.585,0.096,1.2991,1.4342,0.0298
ldar,RCsc,8,15,8.935,366.501,357.537,2.7953,113.7307,110.9433,0.0040,0.1647,0.0000,0.9401,1.0000,1,1,8.672,9.050,0.110,2.7086,2.8214,0.0338
ldapr,RCpc,1,15,1.190,3.000,1.811,0.3763,0.9389,0.5626,0.0000,0.0000,0.0000,0.0000,1.0000,1,1,1.186,1.191,0.001,0.3752,0.3787,0.0011
ldapr,RCpc,2,15,1.806,8.988,7.172,0.5694,2.7973,2.2248,0.0031,0.0156,0.0000,0.6077,1.0000,1,1,1.797,1.820,0.006,0.5663,0.5752,0.0023
ldapr,RCpc,4,15,4.765,16.791,12.029,1.4872,5.2206,3.7345,0.0048,0.0161,0.0000,0.7882,1.0000,1,1,4.571,4.812,0.062,1.4358,1.5088,0.0184
ldapr,RCpc,8,15,9.190,35.455,26.345,2.8659,11.0187,8.1866,0.0038,0.0147,0.0000,0.8996,1.0000,1,1,9.027,9.317,0.088,2.8144,2.9080,0.0282
